outlet_id,sales_territory,account_rep
O-01000,East of England,Dina Patel
O-01001,South West,Gary Walker
O-01002,East of England,Ben Shah
O-01003,West Midlands,Evan Lee
O-01004,East Midlands,Hannah Jones
O-01005,North East,Owen Campbell
O-01006,East Midlands,Dina Patel
O-01007,Yorkshire and the Humber,Dina Patel
O-01008,West Midlands,Chris O'Neill
O-01009,West Midlands,Kris Murphy
O-01010,East of England,Dina Patel
O-01011,South East,Evan Lee
O-01012,Scotland,Mo Ahmed
O-01013,East Midlands,Evan Lee
O-01014,South East,Alice Nguyen
O-01015,East Midlands,Laura Smith
O-01016,Yorkshire and the Humber,Mo Ahmed
O-01017,Yorkshire and the Humber,Jackie Chen
O-01018,Wales,Fiona Grant
O-01019,Yorkshire and the Humber,Fiona Grant
O-01020,South East,Dave Jones
O-01021,Wales,Gary Walker
O-01022,Yorkshire and the Humber,Kris Murphy
O-01023,East Midlands,Ibrahim Khan
O-01024,North East,Mo Ahmed
O-01025,Yorkshire and the Humber,Fiona Grant
O-01026,London,Alice Nguyen
O-01027,Yorkshire and the Humber,Niamh Fraser
O-01028,Yorkshire and the Humber,Dave Jones
O-01029,London,Ben Shah
O-01030,West Midlands,Evan Lee
O-01031,London,Dave Jones
O-01032,Yorkshire and the Humber,Chris O'Neill
O-01033,South West,Rhys Evans
O-01034,West Midlands,Emily Carter
O-01035,South East,Chris O'Neill
O-01036,Wales,Rhys Evans
O-01037,Northern Ireland,Chris O'Neill
O-01038,North East,Niamh Fraser
O-01039,South West,Gary Walker
O-01040,Northern Ireland,Ibrahim Khan
O-01041,Yorkshire and the Humber,Ben Shah
O-01042,North West,Emily Carter
O-01043,Scotland,Owen Campbell
O-01044,Scotland,Laura Smith
O-01045,London,Dina Patel
O-01046,London,Dave Jones
O-01047,Scotland,Mo Ahmed
O-01048,Scotland,Niamh Fraser
O-01049,East Midlands,Hannah Jones
O-01050,Northern Ireland,Hannah Jones
O-01051,South East,Dave Jones
O-01052,North West,Kris Murphy
O-01053,East of England,Dina Patel
O-01054,South West,Dina Patel
O-01055,Scotland,Mo Ahmed
O-01056,East of England,Ibrahim Khan
O-01057,North West,Ibrahim Khan
O-01058,Yorkshire and the Humber,Rhys Evans
O-01059,Wales,Rhys Evans
O-01060,North East,Tom Green
O-01061,South West,Evan Lee
O-01062,Northern Ireland,Jackie Chen
O-01063,Scotland,Owen Campbell
O-01064,Yorkshire and the Humber,Hannah Jones
O-01065,London,Evan Lee
O-01066,South East,Evan Lee
O-01067,London,Ben Shah
O-01068,East Midlands,Owen Campbell
